Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.1895E-17,-1.8601E-16,0.15,0,0,0,9.4248,0.094248,-2.1684E-18,2.0398E-18,0.094248,3.8047E-18,0.047124,0,0,0,0,0,0,package://rocket/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://rocket/meshes/base_link.STL,,rob-1,座標系統2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hat,2.3165E-17,-1.8322E-17,0.0375,0,0,0,2.0944,0.0054323,-1.5224E-18,1.3141E-18,0.0054323,-4.1547E-19,0.0083776,0,0,0,0,0,0,package://rocket/meshes/hat.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://rocket/meshes/hat.STL,,circle_hat-1,座標系統3,基準軸1,base_to_hat,fixed,0,0,0.3,0,0,0,base_link,0,0,0,,,,,,,,,,,,
